,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,Estimated number of malaria deaths,,,
South Sudan,7431[4370-13600],7194[4450-12000],6961[4490-11000],7156[4700-11000],6810[4670-9990],6410[4600-8940],6062[4490-8160],5736[4400-7440],5687[4480-7190],5784[4650-7150],6037[4930-7320],6342[5270-7590],6644[5620-7820],6815[5880-7910],7177[6240-8240],7498[6580-8540],8047[7100-9130],8739[7720-9890],9401[8300-10600],10497[9240-11900],10974[9630-12500],,,
Spain,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,30,52,77,,,
Sudan,7533[260-18200],6609[220-16100],5854[190-14500],5230[170-12700],4581[210-10200],4023[140-8120],3589[130-7000],3174[120-6060],2932[110-5500],2820[110-5320],2770[100-5270],2866[110-5430],3129[120-6020],3688[130-7570],4087[140-8580],4144[140-8800],4099[140-8700],4409[150-9270],4688[160-9840],5919[210-12100],6200[220-12500],,,
Suriname,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,7,18,15,23,24,,,
Sweden,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tajikistan,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Thailand,3,13,15,15,27,33,38,47,37,43,80,70,101,97,113,161,230,204,361,424,625,,,
Timor-Leste,0,0,0,0,0,0,0[0-1],2[0-3],10[0-17],69[3-130],198[11-380],198[11-370],271[14-530],226[13-430],326[18-650],304[17-580],449[26-890],125[7-220],199[11-380],245[9-740],241[9-750],,,
Togo,No malaria,3584[3100-4170],3589[3150-4110],3695[3280-4170],4298[3840-4830],5058[4520-5650],5210[4700-5770],5042[4580-5540],4389[4030-4780],3917[3620-4240],3917[3640-4220],4142[3860-4450],4912[4580-5270],5987[5580-6410],6601[6170-7070],6808[6370-7280],6473[6070-6910],5897[5540-6280],5560[5230-5920],5427[5120-5780],5462[5140-5810],,,
Tonga,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Türkiye,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Turkmenistan,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tuvalu,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Uganda,21699[16500-30900],17766[15900-20200],17652[16000-19700],21315[19200-23900],19158[17600-21000],16198[15200-17300],15581[14800-16500],16421[15600-17300],20233[19200-21400],24423[23100-25800],27679[26200-29200],29622[28100-31200],27478[26100-28900],24820[23700-26100],25471[24300-26700],28954[27600-30400],37194[35400-39200],45326[43100-47800],50654[48100-53400],51831[49200-54600],45764[43500-48100],,,
Ukraine,No malaria,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
United Kingdom of Great Britain and Northern Ireland,No malaria,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,25972[23100-32200],23742[21800-26600],23376[21600-25900],23021[21400-25200],22999[21500-24900],22380[21100-24000],22012[20900-23300],21522[20600-22600],20707[19900-21700],21130[20300-22100],21475[20700-22400],21608[20800-22500],21803[21000-22700],22162[21300-23100],23341[22400-24400],25049[24000-26200],27362[26200-28600],30612[29300-32000],33657[32200-35200],38471[36800-40300],40887[39100-42900],,,
United States of America,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,No malaria,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,No malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Vanuatu,0,0,0,0,0,0,0,0,0,14[1-27],27[2-52],22[1-51],37[2-190],36[3-170],30[2-63],35[3-71],61[5-120],68[5-140],52[4-100],24[1-49],34[2-75],,,
Venezuela (Bolivarian Republic of),203[37-330],351[77-570],373[77-600],424[78-690],261[45-420],150[25-240],110[16-180],105[13-170],56[9-92],47[8-76],53[8-91],36[6-58],26[5-43],37[7-61],33[6-53],34[8-55],30[9-51],27[5-45],19[5-31],15[3-25],26[5-44],,,
Viet Nam,2[0-4],5[0-9],6[0-10],9[0-15],7[0-12],16[1-25],29[2-47],34[2-56],41[2-68],36[2-60],45[2-76],47[1-81],37[1-64],53[2-92],92[4-160],79[4-140],115[6-210],197[11-360],271[15-500],380[21-700],421[22-790],,,
Yemen,1979[63-4040],2134[68-4380],2211[70-4580],1886[62-3880],1681[53-3450],1309[41-2690],1498[46-3110],1786[55-3670],2197[67-4770],2015[60-4630],2866[83-7300],1779[48-5420],1361[37-3990],2117[61-5980],3027[76-17600],2495[64-13700],2391[61-12800],2964[73-15100],3283[86-16700],2947[76-15600],2640[68-14000],,,
Zambia,8946[7820-10400],7996[7360-8790],7862[7310-8530],7825[7350-8380],7988[7550-8480],8070[7660-8520],8222[7840-8650],7827[7490-8190],7388[7100-7700],7076[6820-7360],6770[6540-7030],6701[6470-6950],6708[6470-6950],6851[6600-7110],7262[6990-7560],7899[7580-8250],9007[8630-9420],10421[9970-10900],11675[11100-12200],13075[12500-13800],13121[12500-13800],,,
Zimbabwe,2951[79-6220],2003[54-4230],1624[45-3350],3410[96-7100],1933[55-3910],2718[79-5440],2790[86-5310],2205[67-4260],1512[44-2980],1837[53-3740],2810[75-6240],2276[57-5340],1864[36-4960],4326[110-10600],2769[51-8540],2751[50-8550],2738[50-8510],2730[50-8560],2723[51-8280],2716[50-8530],2707[51-8330],,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
